Year,Food sales at grocery stores (millions of nominal U.S. dollars),Food sales at convenience stores (millions of nominal U.S. dollars),Food sales at other food stores (millions of nominal U.S. dollars),Food sales at warehouse clubs and supercenters (millions of nominal U.S. dollars),Food sales at other stores and foodservice (millions of nominal U.S. dollars),"Direct food selling by farmers, manufacturers, and wholesalers (millions of nominal U.S. dollars)",Home food production and donations (millions of nominal U.S. dollars),Total food-at-home expenditures (millions of nominal U.S. dollars),Food sales at full-service restaurants (millions of nominal U.S. dollars),Food sales at limited-service restaurants (millions of nominal U.S. dollars),Food sales at drinking places (millions of nominal U.S. dollars),Food sales at hotels and motels (millions of nominal U.S. dollars),Food sales at retail stores (millions of nominal U.S. dollars),Food sales at recreational places (millions of nominal U.S. dollars),Food sales at schools and colleges (millions of nominal U.S. dollars),"Food sales at other establishments, not elsewhere classified (millions of nominal U.S. dollars)",Food furnished and donated (millions of nominal U.S. dollars),Total food-away-from-home expenditures (millions of nominal U.S. dollars),Alcohol sales at liquor stores (millions of nominal U.S. dollars),Alcohol sales at food stores (millions of nominal U.S. dollars),"Alcohol-at-home sales at other establishments, not elsewhere classified (millions of nominal U.S. dollars)",Total alcohol-at-home sales (millions of nominal U.S. dollars),Alcohol sales at eating and drinking places (millions of nominal U.S. dollars),Alcohol sales at hotels and motels (millions of nominal U.S. dollars),"Alcohol-away-from-home sales at other establishments, not elsewhere classified (millions of nominal U.S. dollars)",Total alcohol-away-from-home sales (millions of nominal U.S. dollars),
1997,"263,215.10","8,873.11","9,953.80","25,112.76","43,270.77","4,030.20","1,127.42","355,583.16","100,112.90","105,723.80","1,449.27","13,296.92","10,777.50","10,925.76","27,765.97","10,157.80","22,909.52","303,119.44","18,809.46","12,548.53","16,553.68","47,911.67","27,304.25","3,449.51","4,009.80","34,763.56",
1998,"266,097.60","8,503.81","10,196.57","30,840.90","43,343.98","3,728.15","1,149.58","363,860.59","104,381.90","111,938.10","1,514.13","14,164.77","11,707.48","11,658.79","29,268.99","10,906.56","23,467.81","319,008.53","19,830.16","13,020.89","16,610.35","49,461.40","29,254.71","3,661.19","4,385.37","37,301.27",
1999,"276,042.50","8,562.23","10,315.43","37,884.32","47,108.65","3,392.27","1,171.82","384,477.22","108,836.60","115,983.10","1,578.63","15,803.12","13,483.73","12,400.13","31,091.97","11,864.63","24,300.26","335,342.17","20,712.97","13,903.51","16,449.00","51,065.48","31,305.61","4,069.57","4,621.01","39,996.19",
2000,"278,862.40","9,386.11","11,099.01","45,220.77","52,735.04","3,082.01","1,104.32","401,489.66","115,564.30","122,363.00","1,668.01","17,771.35","16,373.20","16,480.16","31,945.68","11,948.91","24,930.46","359,045.07","22,422.70","14,701.11","16,602.20","53,726.01","34,044.71","4,559.36","4,907.15","43,511.22",
2001,"288,253.50","9,328.82","11,751.46","53,807.71","52,938.69","2,716.16","1,244.96","420,041.30","120,004.90","127,234.90","1,709.05","17,058.90","17,693.80","17,238.78","33,930.07","12,347.69","25,326.03","372,544.12","23,340.77","15,606.17","15,251.02","54,197.96","36,164.91","4,360.10","5,049.84","45,574.85",
2002,"287,057.80","9,434.88","11,976.33","62,913.67","53,527.42","2,368.31","1,315.95","428,594.36","125,495.60","132,441.30","1,782.07","16,804.28","18,952.09","17,993.01","36,501.24","12,579.69","25,526.47","388,075.75","23,560.20","16,092.21","13,703.54","53,355.95","38,780.55","4,278.72","5,265.62","48,324.89",
2003,"293,514.30","8,747.88","12,615.54","72,378.68","56,904.34","2,543.53","1,344.07","448,048.34","132,463.40","141,110.80","2,008.22","16,545.59","19,877.08","18,856.23","38,596.87","13,611.59","26,265.92","409,335.70","24,179.88","16,153.35","14,634.97","54,968.20","40,062.22","4,286.34","5,522.87","49,871.43",
2004,"302,511.90","8,724.36","13,651.84","82,523.54","62,786.47","2,695.76","1,420.77","474,314.64","141,701.90","152,537.20","2,175.74","17,146.97","21,559.40","19,827.28","40,956.69","14,527.06","27,640.26","438,072.50","25,818.89","16,515.90","16,149.98","58,484.77","41,184.23","4,528.03","5,801.82","51,514.08",
2005,"314,525.30","8,354.43","13,978.40","94,190.04","68,642.14","2,867.53","1,699.75","504,257.59","150,735.30","164,752.50","2,361.61","17,292.37","21,843.17","19,188.01","43,606.96","15,183.12","29,432.72","464,395.76","27,148.38","16,890.78","17,776.40","61,815.56","42,238.26","4,664.85","5,976.02","52,879.13",
2006,"323,980.80","8,388.43","14,437.35","104,992.00","73,761.90","2,990.83","1,779.15","530,330.46","162,350.10","173,895.30","2,668.81","17,267.65","23,267.72","20,366.99","45,777.23","16,717.55","31,279.05","493,590.40","29,451.64","17,281.00","18,960.59","65,693.23","44,231.71","4,770.84","6,390.24","55,392.79",
